Year of Car,Make of car,Model,Price of car,Location of car,Kilometers,Diesel/Petrol,Body-type,Owner
2020,Renault,KWID CLIMBER 1.0 AMT,4.9 Lakhs,Delhi,"19,000 Kms",Petrol,Hatchback,1st Owner
2019,Renault,KWID RXL,3.65 Lakhs,Faridabad,"14,214 Kms",Petrol,Hatchback,1st Owner
2019,Renault,KWID RXL,3.65 Lakhs,Faridabad,"14,214 Kms",Petrol,Hatchback,1st Owner
2019,Tata,TIAGO REVOTRON XZ PL...,5.65 Lakhs,Faridabad,"9,109 Kms",Petrol,Hatchback,1st Owner
2019,Maruti Suzuki,S PRESSO VXI PLUS,4.5 Lakhs,Ghaziabad,"20,200 Kms",Petrol,Hatchback,1st Owner
2013,Renault,DUSTER 85 PS RXE DIE...,3.25 Lakhs,Delhi,"93,000 Kms",Diesel,SUV,1st Owner
2013,Renault,DUSTER RXL PACK DIES...,3.95 Lakhs,Gurgaon,"66,612 Kms",Diesel,SUV,1st Owner
2013,Renault,DUSTER RXL PLUS DIES...,4.25 Lakhs,Gurgaon,"90,923 Kms",Diesel,SUV,1st Owner
2014,Nissan,TERRANO XL D,4.5 Lakhs,Delhi,"67,841 Kms",Diesel,SUV,1st Owner
2013,Renault,DUSTER 110 PS RXZ,4.5 Lakhs,Delhi,"80,000 Kms",Diesel,SUV,1st Owner
2019,Tata,TIAGO REVOTRON XZ PL...,NO PRICE,Noida,"10,000 Kms",Petrol,Hatchback,1st Owner
2018,Hyundai,GRAND I10 SPORTZ 1.2...,5.25 Lakhs,Faridabad,"16,592 Kms",Petrol,Hatchback,1st Owner
2015,Ford,ECOSPORT TITANIUM 1....,6.45 Lakhs,Gurgaon,"70,293 Kms",Petrol,SUV,1st Owner
2013,Honda,BRIO V MT,2.92 Lakhs,Gurgaon,"43,000 Kms",Petrol,Hatchback,2nd Owner
2010,Hyundai,I20 SPORTZ 1.2 BS IV,2.55 Lakhs,Faridabad,"75,236 Kms",Petrol,Hatchback,1st Owner
2011,Hyundai,SANTRO XING GL,NO PRICE,Noida,"67,980 Kms",Petrol,Hatchback,2nd Owner
2012,Hyundai,I10 ERA 1.1 1RDE2,2.5 Lakhs,Noida,"38,428 Kms",Petrol,Hatchback,1st Owner
2010,Hyundai,I20 SPORTZ 1.2 BS IV,2.55 Lakhs,Faridabad,"75,236 Kms",Petrol,Hatchback,1st Owner
2010,Hyundai,I10 MAGNA 1.2,2.65 Lakhs,Ghaziabad,"26,500 Kms",Petrol,Hatchback,1st Owner
2010,Hyundai,I10 MAGNA 1.2,2.65 Lakhs,Delhi,"26,858 Kms",Petrol,Hatchback,1st Owner
2011,Maruti Suzuki,SWIFT VXI 1.2 BS IV,2.75 Lakhs,Gurgaon,"81,000 Kms",Petrol  CNG Kit,Hatchback,2nd Owner
2014,Maruti Suzuki,ALTO 800 LXI,2.85 Lakhs,Noida,"35,000 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,I10 MAGNA 1.2,2.85 Lakhs,Gurgaon,"64,000 Kms",Petrol,Hatchback,1st Owner
2012,Hyundai,I10 SPORTZ 1.2 KAPPA...,2.9 Lakhs,Gurgaon,"45,000 Kms",Petrol,Hatchback,1st Owner
2010,Honda,CITY 1.5 V MT,3.25 Lakhs,Delhi,"80,000 Kms",Petrol,Sedan,2nd Owner
2016,Maruti Suzuki,ALTO K10 VXI AMT,3.35 Lakhs,Delhi,"25,000 Kms",Petrol,Hatchback,2nd Owner
2018,Maruti Suzuki,ALTO K10 LXI,3.5 Lakhs,Ghaziabad,"10,790 Kms",Petrol,Hatchback,1st Owner
2017,Renault,KWID RXT,3.5 Lakhs,Ghaziabad,"17,992 Kms",Petrol,Hatchback,1st Owner
2012,Hyundai,I20 MAGNA O 1.2,3.5 Lakhs,Ghaziabad,"59,000 Kms",Petrol,Hatchback,1st Owner
2013,Nissan,SUNNY XV PETROL,3.75 Lakhs,Delhi,"50,000 Kms",Petrol,Sedan,1st Owner
2013,Hyundai,I20 MAGNA O 1.2,3.75 Lakhs,Delhi,"76,933 Kms",Petrol,Hatchback,1st Owner
2016,Tata,TIAGO XT,3.95 Lakhs,Noida,"49,000 Kms",Petrol,Hatchback,1st Owner
2015,Honda,AMAZE 1.2 SMT I VTEC,4 Lakhs,Ghaziabad,"53,362 Kms",Petrol,Sedan,2nd Owner
2017,Maruti Suzuki,WAGON R 1.0 LXI CNG,4 Lakhs,Ghaziabad,"69,000 Kms",CNG  CNG Kit,Hatchback,1st Owner
2013,Maruti Suzuki,SWIFT ZXI,4.15 Lakhs,Noida,"52,940 Kms",Petrol,Hatchback,2nd Owner
2013,Maruti Suzuki,SWIFT ZXI,4.15 Lakhs,Noida,"52,045 Kms",Petrol,Hatchback,2nd Owner
2014,Maruti Suzuki,SWIFT ZXI,4.25 Lakhs,Noida,"45,667 Kms",CNG,Hatchback,1st Owner
2015,Maruti Suzuki,SWIFT LXI,4.25 Lakhs,Noida,"53,000 Kms",Petrol,Hatchback,2nd Owner
2018,Renault,KWID 1.0 RXT AMT O,4.31 Lakhs,Noida,"16,000 Kms",Petrol,Hatchback,1st Owner
2018,Renault,KWID 1.0 RXT AMT O,4.31 Lakhs,Noida,"16,653 Kms",Petrol,Hatchback,1st Owner
2015,Honda,AMAZE 1.2 SMT I VTEC,4.49 Lakhs,Noida,"42,372 Kms",Petrol,Sedan,1st Owner
2015,Honda,AMAZE 1.2 SMT I VTEC,4.49 Lakhs,Noida,"42,000 Kms",Petrol,Sedan,1st Owner
2015,Tata,ZEST XM RT 90PS,4.5 Lakhs,Delhi,"17,565 Kms",Petrol,Sedan,1st Owner
2013,Ford,ECOSPORT TITANIUM 1....,4.75 Lakhs,Delhi,"56,175 Kms",Petrol,SUV,1st Owner
2012,Nissan,SUNNY XV DIESEL,2 Lakhs,Faridabad,1.37 Lakhs Kms,Diesel,SUV,2nd Owner
2014,Mahindra,QUANTO C8,3.5 Lakhs,Gurgaon,"76,949 Kms",Diesel,SUV,1st Owner
2012,Skoda,YETI AMBITION 2.0 TD...,4.65 Lakhs,Delhi,"79,211 Kms",Diesel,SUV,1st Owner
2014,Nissan,TERRANO XL 1.5 85 PS...,4.65 Lakhs,Gurgaon,"79,168 Kms",Diesel,SUV,2nd Owner
2014,Ford,ECOSPORT TITANIUM 1....,4.75 Lakhs,Ghaziabad,"80,777 Kms",Diesel,SUV,2nd Owner
2014,Ford,ECOSPORT TREND 1.5 T...,4.75 Lakhs,Gurgaon,"66,246 Kms",Diesel,SUV,2nd Owner
2014,Nissan,TERRANO XE D,4.75 Lakhs,Gurgaon,"70,433 Kms",Diesel,SUV,2nd Owner
2013,Ford,ECOSPORT TITANIUM 1....,4.75 Lakhs,Delhi,"41,000 Kms",Diesel,SUV,1st Owner
2012,Mahindra,XUV500 W8,4.75 Lakhs,Gurgaon,"81,000 Kms",Diesel,SUV,1st Owner
2011,Mitsubishi,OUTLANDER 2.4 MIVEC,4.8 Lakhs,Gurgaon,1.39 Lakhs Kms,Petrol,SUV,2nd Owner
2017,Mahindra,KUV100 NXT K4 PLUS 6...,4.85 Lakhs,Noida,"6,588 Kms",Petrol,SUV,1st Owner
2012,Mahindra,XUV500(2011_2015) W8,4.95 Lakhs,Delhi,"70,000 Kms",Diesel,SUV,1st Owner
2013,Renault,DUSTER RXE PETROL,5 Lakhs,Delhi,"28,829 Kms",Petrol,SUV,1st Owner
2016,Mahindra,TUV 300 T8,5.25 Lakhs,Delhi,"64,000 Kms",Diesel,SUV,2nd Owner
2015,Ford,ECOSPORT AMBIENTE 1....,5.25 Lakhs,Noida,"82,185 Kms",Diesel,SUV,1st Owner
2014,Ford,ECOSPORT TITANIUM 1....,5.25 Lakhs,Delhi,"74,883 Kms",Diesel,SUV,1st Owner
2013,Ford,ECOSPORT TITANIUM 1....,5.25 Lakhs,Delhi,"63,972 Kms",Diesel,SUV,1st Owner
2013,Ford,ECOSPORT TITANIUM 1....,5.25 Lakhs,Ghaziabad,"63,900 Kms",Diesel,SUV,1st Owner
2012,Toyota,INNOVA 2.5 E 7 STR,5.25 Lakhs,Faridabad,2.17 Lakhs Kms,Diesel,SUV,2nd Owner
2016,Mahindra,TUV 300 T8,5.3 Lakhs,Gurgaon,"72,400 Kms",Diesel,SUV,1st Owner
2013,Ford,ECOSPORT TITANIUM 1....,5.35 Lakhs,Noida,"68,000 Kms",Petrol,SUV,2nd Owner
2015,Renault,DUSTER 85 PS RXL,5.49 Lakhs,Ghaziabad,"74,523 Kms",Diesel,SUV,1st Owner
2013,Mahindra,SCORPIO EX,5.5 Lakhs,Delhi,"50,200 Kms",Diesel,SUV,1st Owner
2013,Mahindra,SCORPIO EX,5.5 Lakhs,Ghaziabad,"50,200 Kms",Diesel,SUV,1st Owner
2018,Mahindra,KUV100 NXT K8 6 STR,5.6 Lakhs,Noida,"29,000 Kms",Petrol,SUV,1st Owner
2018,Mahindra,KUV100 NXT K8 6 STR,5.6 Lakhs,Noida,"28,968 Kms",Petrol,SUV,1st Owner
2014,Nissan,TERRANO XV D THP PRE...,5.65 Lakhs,Delhi,"65,472 Kms",Diesel,SUV,1st Owner
2016,Maruti Suzuki,S CROSS 1.3 DELTA,5.65 Lakhs,Delhi,"74,290 Kms",Diesel,SUV,1st Owner
2013,Toyota,INNOVA 2.5 G4 7 STR,5.7 Lakhs,Noida,1.2 Lakhs Kms,Diesel,SUV,1st Owner
2013,Mahindra,XUV500 W8,5.75 Lakhs,Noida,"60,000 Kms",Diesel,SUV,2nd Owner
2015,Ford,ECOSPORT AMBIENTE 1....,5.85 Lakhs,Gurgaon,"59,285 Kms",Petrol,SUV,1st Owner
2015,Renault,DUSTER RXE PETROL 10...,5.9 Lakhs,Gurgaon,"44,000 Kms",Petrol,SUV,1st Owner
2016,Mahindra,TUV 300 T8,5.95 Lakhs,Noida,"78,000 Kms",Diesel,SUV,1st Owner
2015,Ford,ECOSPORT TITANIUM 1....,5.95 Lakhs,Noida,"78,000 Kms",Diesel,SUV,2nd Owner
2015,Ford,ECOSPORT TREND 1.5 T...,6 Lakhs,Delhi,"55,000 Kms",Diesel,SUV,1st Owner
2015,Ford,ECOSPORT TREND 1.5 T...,6 Lakhs,Ghaziabad,"55,000 Kms",Diesel,SUV,1st Owner
2013,Renault,DUSTER RXE PETROL,6 Lakhs,Ghaziabad,"28,829 Kms",Petrol,SUV,1st Owner
2016,Mahindra,TUV 300 T8,6.15 Lakhs,Noida,"85,049 Kms",Diesel,SUV,1st Owner
2015,Ford,ECOSPORT TITANIUM 1....,6.15 Lakhs,Delhi,"72,123 Kms",Petrol,SUV,1st Owner
2016,Mahindra,TUV 300 T8 MHAWK 100,6.25 Lakhs,Noida,"92,000 Kms",Diesel,SUV,1st Owner
2016,Mahindra,TUV 300 T6 PLUS,6.25 Lakhs,Faridabad,"77,728 Kms",Diesel,SUV,1st Owner
2016,Mahindra,TUV 300 T6 PLUS,6.45 Lakhs,Faridabad,"77,728 Kms",Diesel,SUV,1st Owner
2015,Renault,DUSTER 110 PS RXZ DI...,6.5 Lakhs,Ghaziabad,"81,645 Kms",Diesel,SUV,1st Owner
2016,Mahindra,TUV 300 T8,6.65 Lakhs,Gurgaon,"66,876 Kms",Diesel,SUV,1st Owner
2016,Ford,ECOSPORT TREND 1.5 T...,6.75 Lakhs,Noida,"44,000 Kms",Diesel,SUV,1st Owner
2016,Ford,ECOSPORT TREND 1.5 T...,6.75 Lakhs,Noida,"43,000 Kms",Petrol,SUV,1st Owner
2015,Mahindra,XUV500(2011_2015) W6,6.9 Lakhs,Gurgaon,1.08 Lakhs Kms,Diesel,SUV,1st Owner
2016,Ford,ECOSPORT TITANIUM 1....,6.95 Lakhs,Delhi,"34,736 Kms",Petrol,SUV,1st Owner
2018,Mahindra,BOLERO ZLX,7 Lakhs,Ghaziabad,"41,469 Kms",Diesel,SUV,1st Owner
2017,Honda,BR V E PETROL,7 Lakhs,Delhi,"43,010 Kms",Petrol,SUV,1st Owner
2017,Mahindra,BOLERO ZLX,7.4 Lakhs,Delhi,"54,400 Kms",Diesel,SUV,1st Owner
2016,Ford,ECOSPORT TITANIUM 1....,7.4 Lakhs,Delhi,"55,965 Kms",Diesel,SUV,1st Owner
2016,Mahindra,XUV 500 W10,7.5 Lakhs,Ghaziabad,"67,554 Kms",Diesel,SUV,1st Owner
2017,Maruti Suzuki,VITARA BREZZA ZDI PL...,7.75 Lakhs,Gurgaon,"60,000 Kms",Diesel,SUV,1st Owner
2017,Maruti Suzuki,VITARA BREZZA ZDI PL...,7.8 Lakhs,Gurgaon,"36,986 Kms",Diesel,SUV,1st Owner
2012,BMW,X1 SDRIVE 20D,7.8 Lakhs,Delhi,"99,000 Kms",Diesel,SUV,1st Owner
2018,Nissan,MICRA XV CVT,5.85 Lakhs,Delhi,"3,005 Kms",Petrol,Hatchback,1st Owner
2015,Maruti Suzuki,SWIFT DZIRE VDI,5.5 Lakhs,Delhi,"59,478 Kms",Diesel,Sedan,1st Owner
2015,Maruti Suzuki,SWIFT DZIRE VDI,5.5 Lakhs,Ghaziabad,"57,000 Kms",Diesel,Sedan,1st Owner
2018,Hyundai,ELITE I20 MAGNA EXEC...,6.85 Lakhs,Delhi,"39,000 Kms",Petrol,Hatchback,1st Owner
2015,Honda,CITY 1.5 V MT,6.75 Lakhs,Delhi,"25,000 Kms",Petrol,Sedan,1st Owner
2014,Maruti Suzuki,CIAZ ZXI MT,5.5 Lakhs,Delhi,"50,000 Kms",Petrol,Sedan,1st Owner
2021,Jeep,COMPASS LIMITED 1.4 ...,25 Lakhs,Delhi,850 Kms,Petrol,SUV,1st Owner
2018,Maruti Suzuki,VITARA BREZZA ZDI+ D...,9.25 Lakhs,Delhi,"23,000 Kms",Diesel,SUV,1st Owner
2011,Skoda,SUPERB ELEGANCE 1.8...,5.95 Lakhs,Delhi,"25,300 Kms",Petrol,Sedan,1st Owner
2019,Maruti Suzuki,VITARA BREZZA VDI AG...,8.25 Lakhs,Faridabad,"31,000 Kms",Diesel,SUV,1st Owner
2018,Mahindra,SCORPIO S7 140 2WD,12.25 Lakhs,Gurgaon,"98,001 Kms",Diesel,SUV,1st Owner
2019,Maruti Suzuki,WAGON R ZXI 1.2 AMT,5.9 Lakhs,Delhi,"15,023 Kms",Petrol,Hatchback,1st Owner
2018,Hyundai,CRETA 1.6 SX PLUS AT...,12.75 Lakhs,Delhi,"15,030 Kms",Petrol,SUV,1st Owner
2016,Honda,CITY VX CVT PETROL,8.45 Lakhs,Noida,"44,000 Kms",Petrol,Sedan,1st Owner
2015,Honda,CITY 1.5 V MT,7 Lakhs,Delhi,"42,905 Kms",Petrol,Sedan,1st Owner
2015,Honda,CITY 1.5 V MT,7 Lakhs,Ghaziabad,"42,685 Kms",Petrol,Sedan,1st Owner
2014,Volkswagen,VENTO TSI AT,5.65 Lakhs,Noida,"65,000 Kms",Petrol,Sedan,1st Owner
2014,Honda,CITY 1.5 V MT,6.35 Lakhs,Noida,"26,464 Kms",Petrol,Sedan,1st Owner
2019,Tata,NEXON XZ PLUS,6.87 Lakhs,Delhi,"42,977 Kms",Petrol,Hatchback,1st Owner
2014,Volkswagen,VENTO TSI AT,5.65 Lakhs,Noida,"65,000 Kms",Petrol,Sedan,1st Owner
2016,Mahindra,XUV500(2015_2017) W8,10.45 Lakhs,Noida,"54,897 Kms",Diesel,SUV,1st Owner
2016,Mahindra,XUV500(2015_2017) W8,10.45 Lakhs,Noida,"54,000 Kms",Diesel,SUV,1st Owner
2016,Hyundai,ELITE I20 ASTA O 1.2,6.11 Lakhs,Noida,"26,000 Kms",Petrol,Hatchback,1st Owner
2016,Honda,CITY 1.5 VX CVT,8.45 Lakhs,Noida,"44,625 Kms",Petrol,Sedan,1st Owner
2016,Hyundai,I20 ASTA 1.2 O,6.11 Lakhs,Noida,"26,837 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,NEW ELANTRA 1.8 SX M...,9 Lakhs,Delhi,"60,239 Kms",Petrol,Sedan,1st Owner
2014,Honda,CITY 1.5 V MT,6.35 Lakhs,Noida,"26,123 Kms",Petrol,Sedan,1st Owner
2012,Hyundai,NEW ELANTRA 1.8 SX M...,6.75 Lakhs,Ghaziabad,"60,500 Kms",Petrol,Sedan,1st Owner
2012,Hyundai,NEW ELANTRA 1.8 SX M...,6.75 Lakhs,Delhi,"65,265 Kms",Petrol,Sedan,1st Owner
2019,Tata,NEXON XM,7.15 Lakhs,Noida,"25,000 Kms",Petrol,Hatchback,1st Owner
2011,Toyota,FORTUNER 3.0 LIMITED...,8.5 Lakhs,Faridabad,1.56 Lakhs Kms,Diesel,SUV,2nd Owner
2016,Maruti Suzuki,BALENO ALPHA,5.75 Lakhs,Noida,"45,000 Kms",Petrol,Hatchback,1st Owner
2017,Tata,TIAGO REVOTORQ XT,4.1 Lakhs,Delhi,"52,324 Kms",Diesel,Hatchback,1st Owner
2014,Maruti Suzuki,SWIFT(2014_2018) VXI,4.25 Lakhs,Delhi,"53,810 Kms",Petrol,Hatchback,1st Owner
2014,Maruti Suzuki,SWIFT VXI,4.25 Lakhs,Ghaziabad,"54,000 Kms",Petrol,Hatchback,1st Owner
2013,Honda,CITY 1.5 S AT,7 Lakhs,Ghaziabad,"48,000 Kms",Petrol,Sedan,1st Owner
2013,Honda,AMAZE 1.5 VXMT I DTE...,3.65 Lakhs,Gurgaon,"57,942 Kms",Diesel,Sedan,1st Owner
2016,Mahindra,KUV100 K8 6 SEATER P...,3.75 Lakhs,Delhi,"50,224 Kms",Petrol,Hatchback,1st Owner
2014,Hyundai,I20 SPORTZ 1.2 O,4.95 Lakhs,Delhi,"60,367 Kms",Petrol,Hatchback,1st Owner
2019,Hyundai,SANTRO SPORTZ AMT,5.75 Lakhs,Noida,"1,545 Kms",Petrol,Hatchback,1st Owner
2017,Hyundai,TUCSON 2WD AT GLS DI...,15.00 Lakhs,Gurgaon,"23,500 Kms",Diesel,SUV,2nd Owner
2016,Volkswagen,AMEO COMFORTLINE PET...,5.25 Lakhs,Noida,"21,778 Kms",Petrol,Sedan,1st Owner
2016,Hyundai,CRETA 1.6 CRDI AT SX...,9.5 Lakhs,Delhi,"62,987 Kms",Diesel,CompactSUV,1st Owner
2015,Maruti Suzuki,BALENO ALPHA (D),5.6 Lakhs,Delhi,"61,000 Kms",Diesel,Hatchback,1st Owner
2014,Maruti Suzuki,WAGON R LXI,3 Lakhs,Ghaziabad,"47,951 Kms",Petrol,Hatchback,2nd Owner
2014,Maruti Suzuki,WAGON R 1.0 VXI,3 Lakhs,Delhi,"47,951 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,VERNA 1.6 CRDI SX,5.1 Lakhs,Delhi,"66,900 Kms",Diesel,Sedan,1st Owner
2018,Hyundai,ELITE I20 SPORTZ 1.2,6.7 Lakhs,Delhi,"19,000 Kms",Petrol,Hatchback,1st Owner
2016,Maruti Suzuki,BALENO DELTA,5.25 Lakhs,Delhi,"49,970 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,NEW ELANTRA 1.8 SX M...,9 Lakhs,Ghaziabad,"60,200 Kms",Petrol,Sedan,1st Owner
2014,Hyundai,I20 ASTA 1.2,4.7 Lakhs,Delhi,"51,456 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,SONATA 2.4 GDI MT,8 Lakhs,Delhi,"56,683 Kms",Petrol,Sedan,1st Owner
2013,Hyundai,SONATA 2.4 GDI MT,8 Lakhs,Ghaziabad,"56,000 Kms",Petrol,Sedan,1st Owner
2013,Hyundai,NEW ELANTRA 1.8 SX M...,7.5 Lakhs,Ghaziabad,"62,000 Kms",Petrol,Sedan,1st Owner
2018,Maruti Suzuki,BALENO DELTA,6.25 Lakhs,Delhi,"39,000 Kms",Petrol,Hatchback,1st Owner
2016,Maruti Suzuki,CELERIO VXI AMT,4.15 Lakhs,Faridabad,"32,966 Kms",Petrol,Saloon,1st Owner
2014,Hyundai,GRAND I10 ASTA AT 1....,3.95 Lakhs,Faridabad,"44,000 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,SANTRO XING GLS,2.1 Lakhs,Gurgaon,"51,245 Kms",Petrol,Hatchback,1st Owner
2020,Hyundai,ELITE I20 SPORTZ PLU...,7.5 Lakhs,Delhi,"3,000 Kms",Petrol,Hatchback,1st Owner
2018,Maruti Suzuki,VITARA BREZZA ZDI+,9.4 Lakhs,Delhi,"25,245 Kms",Diesel,Hatchback,1st Owner
2018,Hyundai,XCENT E PLUS,5.35 Lakhs,Noida,"58,298 Kms",Petrol,Sedan,1st Owner
2018,Hyundai,XCENT E PLUS,5.35 Lakhs,Noida,"58,290 Kms",Petrol,Sedan,1st Owner
2018,Maruti Suzuki,WAGON R 1.0 LXI CNG,4.65 Lakhs,Ghaziabad,"36,140 Kms",CNG  CNG Kit,Hatchback,1st Owner
2017,Maruti Suzuki,DZIRE ZXI PLUS AMT,7.37 Lakhs,Noida,"36,194 Kms",Petrol,Sedan,1st Owner
2017,Renault,KWID RXT,3.25 Lakhs,Noida,"40,760 Kms",Petrol,Hatchback,1st Owner
2017,Maruti Suzuki,DZIRE ZXI PLUS AMT,7.37 Lakhs,Noida,"36,194 Kms",Petrol,Sedan,1st Owner
2017,Renault,KWID RXT,3.25 Lakhs,Noida,"40,770 Kms",Petrol,Hatchback,1st Owner
2016,Honda,JAZZ 1.2 V AT I VTEC,5.35 Lakhs,Noida,"25,650 Kms",Petrol,Hatchback,2nd Owner
2016,Honda,JAZZ 1.2 V AT I VTEC,5.35 Lakhs,Noida,"25,650 Kms",Petrol,Hatchback,2nd Owner
2014,Hyundai,GRAND I10 ASTA 1.2 K...,3.99 Lakhs,Noida,"13,709 Kms",Petrol,Hatchback,1st Owner
2014,Hyundai,GRAND I10 ASTA 1.2 K...,3.99 Lakhs,Noida,"13,709 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,I20 MAGNA O 1.2,3.2 Lakhs,Delhi,"80,295 Kms",Petrol,Hatchback,2nd Owner
2018,Tata,TIAGO XZ,4.65 Lakhs,Gurgaon,"56,649 Kms",Petrol,Hatchback,1st Owner
2018,Hyundai,GRAND I10 SPORTZ 1.2...,5.25 Lakhs,Faridabad,"18,011 Kms",Petrol,Hatchback,1st Owner
2014,Honda,BRIO VX MT,3.75 Lakhs,Gurgaon,"46,577 Kms",Petrol,Hatchback,1st Owner
2020,Maruti Suzuki,CELERIO VXI CNG O,5.75 Lakhs,Delhi,"12,308 Kms",CNG  CNG Kit,Hatchback,1st Owner
2017,Maruti Suzuki,ALTO K10 VXI AMT,3.5 Lakhs,Delhi,"39,276 Kms",Petrol,Hatchback,1st Owner
2017,Maruti Suzuki,SWIFT DZIRE ZDI BS I...,6.7 Lakhs,Delhi,"33,000 Kms",Diesel,Sedan,1st Owner
2012,Maruti Suzuki,WAGON R 1.0 VXI,2.45 Lakhs,Delhi,"42,000 Kms",Petrol,Hatchback,1st Owner
2020,Hyundai,VENUE S 1.0 AT PETRO...,10.25 Lakhs,Faridabad,"7,406 Kms",Petrol,SUV,1st Owner
2020,Hyundai,VENUE S 1.0 AT PETRO...,10.25 Lakhs,Faridabad,"7,406 Kms",Petrol,SUV,1st Owner
2017,Maruti Suzuki,S CROSS 1.6 ZETA,8.15 Lakhs,Delhi,"49,244 Kms",Diesel,SUV,1st Owner
2017,Maruti Suzuki,CELERIO VXI AT,4.7 Lakhs,Noida,"34,873 Kms",Petrol,Hatchback,1st Owner
2017,Maruti Suzuki,IGNIS ZETA 1.2 MT,4.85 Lakhs,Delhi,"33,677 Kms",Petrol,Hatchback,1st Owner
2017,Maruti Suzuki,SWIFT VXI 1.2 BS IV,5 Lakhs,Ghaziabad,"53,334 Kms",Petrol,Hatchback,1st Owner
2015,Maruti Suzuki,CELERIO VXI AT,3.8 Lakhs,Ghaziabad,"85,092 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,GRAND I10 MAGNA 1.2 ...,3.85 Lakhs,Delhi,"49,568 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,EON MAGNA PLUS,2.75 Lakhs,Faridabad,"51,840 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,EON MAGNA PLUS,2.75 Lakhs,Faridabad,"51,090 Kms",Petrol,Hatchback,1st Owner
2014,Maruti Suzuki,ALTO 800 LXI,2.45 Lakhs,Faridabad,"37,405 Kms",Petrol,Hatchback,1st Owner
2014,Maruti Suzuki,ALTO 800 LXI,2.25 Lakhs,Faridabad,"37,405 Kms",Petrol,Hatchback,1st Owner
2021,Maruti Suzuki,XL6 ALPHA AT PETROL,12.95 Lakhs,Delhi,915 Kms,Petrol,MPV,1st Owner
2020,Maruti Suzuki,VITARA BREZZA ZXI,10 Lakhs,Ghaziabad,"2,491 Kms",Petrol,SUV,1st Owner
2017,Toyota,INNOVA CRYSTA 2.8 GX...,17.35 Lakhs,Gurgaon,"59,000 Kms",Diesel,MPV,1st Owner
2016,Hyundai,GRAND I10 ASTA AT 1....,5.5 Lakhs,Delhi,"40,000 Kms",Petrol,Hatchback,1st Owner
2018,Toyota,PLATINUM ETIOS VX,6.15 Lakhs,Gurgaon,"34,089 Kms",Petrol,Sedan,1st Owner
2017,Hyundai,GRAND I10 SPORTZ 1.1...,4.75 Lakhs,Faridabad,"28,147 Kms",Diesel,Hatchback,1st Owner
2018,Mahindra,THAR DI 4WD,9 Lakhs,Delhi,"5,915 Kms",Diesel,SUV,1st Owner
2017,Renault,KWID RXT,3.45 Lakhs,Faridabad,"24,245 Kms",Petrol,Hatchback,1st Owner
2017,Renault,KWID RXT,3.75 Lakhs,Faridabad,"24,245 Kms",Petrol,Hatchback,1st Owner
2012,Honda,CITY 1.5 S MT,4.5 Lakhs,Delhi,"55,000 Kms",Petrol,Sedan,1st Owner
2019,Maruti Suzuki,BALENO SIGMA,5.95 Lakhs,Noida,"9,127 Kms",Petrol,Hatchback,1st Owner
2016,Datsun,REDI GO S,2.65 Lakhs,Delhi,"40,032 Kms",Petrol,Hatchback,1st Owner
2016,Renault,KWID RXL,2.75 Lakhs,Delhi,"10,211 Kms",Petrol,Hatchback,1st Owner
2015,Renault,KWID RXL,2.75 Lakhs,Noida,"16,856 Kms",Petrol,Hatchback,1st Owner
2015,Nissan,MICRA XL PETROL,3.5 Lakhs,Delhi,"25,111 Kms",Petrol,Hatchback,1st Owner
2015,Tata,ZEST XM QUADRAJET 90...,3.25 Lakhs,Noida,"52,340 Kms",Diesel,Sedan,1st Owner
2014,Hyundai,ELANTRA VTVT S 1.8 B...,7.5 Lakhs,Delhi,"55,000 Kms",Petrol,Sedan,1st Owner
2014,Honda,AMAZE 1.2 SMT I VTEC,3.75 Lakhs,Noida,"61,726 Kms",Petrol,Sedan,1st Owner
2013,Hyundai,I10 SPORTZ 1.2 KAPPA...,3.25 Lakhs,Noida,"25,133 Kms",Petrol,Hatchback,1st Owner
2012,Maruti Suzuki,WAGON R LXI,2.45 Lakhs,Delhi,"47,109 Kms",Petrol,Hatchback,1st Owner
2018,Mahindra,EVERITO D4,5.45 Lakhs,Gurgaon,153 Kms,Electric,Sedan,1st Owner
2017,Mahindra,EVERITO D2,4.95 Lakhs,Gurgaon,485 Kms,Electric,Sedan,1st Owner
2019,Maruti Suzuki,ERTIGA ZXI AT,10.75 Lakhs,Delhi,"15,000 Kms",Petrol,MPV,1st Owner
2019,Maruti Suzuki,CELERIO VXI CNG,5.25 Lakhs,Ghaziabad,"25,252 Kms",CNG  CNG Kit,Hatchback,1st Owner
2018,Hyundai,CRETA SX 1.6 PETROL,11.75 Lakhs,Delhi,"34,000 Kms",Petrol,SUV,1st Owner
2018,Toyota,FORTUNER 2.8 2WD MT,29.5 Lakhs,Delhi,"28,000 Kms",Diesel,SUV,1st Owner
