Year of Car,Make of car,Model,Price of car,Location of car,Kilometers,Diesel/Petrol,Body-type,Owner
2019,Ford,ECOSPORT TITANIUM 1....,11 Lakhs,Ghaziabad,"6,008 Kms",Petrol,SUV,1st Owner
2012,Toyota,ETIOS LIVA G SP,2.95 Lakhs,Delhi,"69,328 Kms",Petrol,Hatchback,1st Owner
2017,Maruti Suzuki,BALENO ZETA 1.2,6.1 Lakhs,Delhi,"15,870 Kms",Petrol,Hatchback,1st Owner
2016,Maruti Suzuki,BALENO DELTA AT 1.2,5.85 Lakhs,Delhi,"31,581 Kms",Petrol,Hatchback,1st Owner
2015,Maruti Suzuki,CIAZ VDI MT SHVS,5.78 Lakhs,Noida,"63,314 Kms",Diesel,Sedan,1st Owner
2015,Maruti Suzuki,CIAZ VDI MT SHVS,5.78 Lakhs,Noida,"63,000 Kms",Diesel,Sedan,1st Owner
2014,Hyundai,EON ERA PLUS,2.35 Lakhs,Faridabad,"46,903 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,VERNA 1.6 SX CRDI AT,6.65 Lakhs,Gurgaon,"52,323 Kms",Diesel,Sedan,1st Owner
2016,Maruti Suzuki,EECO 5 STR CNG WITH ...,3.35 Lakhs,Delhi,"53,748 Kms",CNG,Van,1st Owner
2015,Hyundai,GRAND I10 SPORTZ 1.1...,3.85 Lakhs,Delhi,"67,124 Kms",Diesel,Hatchback,1st Owner
2014,Hyundai,GRAND I10 MAGNA 1.1 ...,3.1 Lakhs,Faridabad,"75,323 Kms",Diesel,Hatchback,1st Owner
2018,Maruti Suzuki,BALENO DELTA,5.85 Lakhs,Noida,"32,090 Kms",Petrol,Hatchback,1st Owner
2017,Ford,FIGO ASPIRE TITANIUM...,5.1 Lakhs,Delhi,"60,000 Kms",Diesel,Sedan,1st Owner
2010,Ford,FIGO DURATEC TITANIU...,2.55 Lakhs,Noida,"74,000 Kms",Petrol,Hatchback,1st Owner
2009,Honda,CITY E,2.95 Lakhs,Noida,"80,000 Kms",Petrol,Sedan,2nd Owner
2014,Hyundai,GRAND I10 MAGNA 1.1 ...,3.1 Lakhs,Faridabad,"75,323 Kms",Diesel,Hatchback,1st Owner
2011,Maruti Suzuki,ZEN ESTILO LXI BS IV,2.1 Lakhs,Faridabad,"39,394 Kms",Petrol,Hatchback,1st Owner
2011,Maruti Suzuki,ZEN ESTILO LXI BS IV,2.1 Lakhs,Faridabad,"39,394 Kms",Petrol,Hatchback,1st Owner
2014,Toyota,COROLLA ALTIS 1.8 G,7.25 Lakhs,Gurgaon,"69,149 Kms",Petrol,Sedan,2nd Owner
2011,Honda,CITY 1.5 V MT,3.65 Lakhs,Delhi,"60,000 Kms",Petrol,Sedan,2nd Owner
2015,Hyundai,GRAND I10 ERA 1.1 CR...,2.8 Lakhs,Faridabad,"70,990 Kms",Diesel,Hatchback,3rd Owner
2014,Toyota,ETIOS LIVA V,3 Lakhs,Faridabad,"80,530 Kms",Diesel,Hatchback,1st Owner
2011,Honda,ACCORD 2.4 AT,5.75 Lakhs,Delhi,"80,000 Kms",Petrol,Sedan,1st Owner
2011,Honda,CITY 1.5 S MT,3.85 Lakhs,Noida,"60,665 Kms",Petrol  CNG Kit,Sedan,1st Owner
2018,Maruti Suzuki,CIAZ ALPHA 1.3 HYBRI...,8.5 Lakhs,Ghaziabad,"26,000 Kms",Diesel,Sedan,1st Owner
2016,Toyota,INNOVA CRYSTA 2.4 GX...,14.9 Lakhs,Delhi,"85,000 Kms",Diesel,MPV,1st Owner
2015,Maruti Suzuki,WAGON R 1.0 LXI CNG,3.5 Lakhs,Ghaziabad,"59,471 Kms",CNG  CNG Kit,Hatchback,1st Owner
2012,Honda,JAZZ X,3.55 Lakhs,Noida,"84,000 Kms",Petrol,Hatchback,2nd Owner
2008,Maruti Suzuki,SWIFT VXI 1.3,1.95 Lakhs,Gurgaon,"76,000 Kms",Petrol,Hatchback,1st Owner
2015,Hyundai,CRETA 1.6 VTVT SX PL...,7.25 Lakhs,Delhi,1.12 Lakhs Kms,Petrol,CompactSUV,1st Owner
2015,Maruti Suzuki,SWIFT VXI,4.25 Lakhs,Ghaziabad,"50,000 Kms",Petrol,Hatchback,1st Owner
2014,Maruti Suzuki,CIAZ ZXI MT,5.85 Lakhs,Delhi,"75,000 Kms",Petrol,Sedan,1st Owner
2016,Mahindra,E2O T2,4.5 Lakhs,Delhi,"15,000 Kms",Electric,Hatchback,1st Owner
2011,Hyundai,I10 MAGNA 1.1 IRDE2,2.75 Lakhs,Noida,"98,153 Kms",Petrol,Hatchback,1st Owner
2018,Ford,ENDEAVOUR TITANIUM 3...,29 Lakhs,Delhi,1.22 Lakhs Kms,Diesel,SUV,1st Owner
2016,Hyundai,I20(2015_2017) MAGNA...,6.25 Lakhs,Delhi,"52,000 Kms",Petrol,Hatchback,1st Owner
2010,Hyundai,I10 SPORTZ 1.2 AT,2.75 Lakhs,Noida,"70,000 Kms",Petrol,Hatchback,2nd Owner
2009,Hyundai,I10 ERA,1.95 Lakhs,Noida,"70,000 Kms",Petrol,Hatchback,1st Owner
2016,Mahindra,E2O T2,4.5 Lakhs,Delhi,"15,000 Kms",Electric,Hatchback,1st Owner
2014,Maruti Suzuki,ALTO K10 LXI,2.5 Lakhs,Delhi,"48,000 Kms",Petrol  CNG Kit,Hatchback,2nd Owner
2013,Mercedes Benz,C CLASS C 220 CDI CL...,12 Lakhs,Delhi,"61,000 Kms",Diesel,Sedan,3rd Owner
2013,Nissan,SUNNY XL AUTO,3.5 Lakhs,Delhi,"28,000 Kms",Petrol,Sedan,2nd Owner
2013,Nissan,SUNNY XL PETROL,3.45 Lakhs,Delhi,"62,000 Kms",Petrol,Sedan,1st Owner
2012,Toyota,FORTUNER 3.0 AT 4X2,11.75 Lakhs,Delhi,"88,000 Kms",Diesel,SUV,1st Owner
2010,Volkswagen,BEETLE 2.0 AT,13.25 Lakhs,Delhi,"43,000 Kms",Petrol,Hatchback,2nd Owner
2008,Honda,CIVIC 1.8 S MT,2.35 Lakhs,Delhi,"62,000 Kms",Petrol,Sedan,1st Owner
2016,Ford,FIGO TREND 1.5,3.8 Lakhs,Delhi,"62,000 Kms",Diesel,Hatchback,1st Owner
2010,Toyota,COROLLA ALTIS 1.8 G,3.65 Lakhs,Delhi,"42,000 Kms",Petrol,Sedan,1st Owner
2016,Volkswagen,VENTO HIGHLINE 1.2 P...,6.85 Lakhs,Gurgaon,"47,083 Kms",Petrol,Sedan,2nd Owner
2012,Maruti Suzuki,SWIFT DZIRE LDI,2.95 Lakhs,Noida,"40,000 Kms",Diesel,Sedan,2nd Owner
2009,Toyota,COROLLA ALTIS 1.8 G,2.75 Lakhs,Noida,"78,000 Kms",Petrol,Sedan,1st Owner
2010,Hyundai,I20 ASTA 1.2,2.3 Lakhs,Gurgaon,1.04 Lakhs Kms,Petrol,Hatchback,1st Owner
2009,Honda,CITY 1.5 S MT,2.95 Lakhs,Delhi,"70,000 Kms",Petrol,Sedan,1st Owner
2011,Maruti Suzuki,SWIFT DZIRE LXI 1.2 ...,2.25 Lakhs,Gurgaon,"55,000 Kms",Petrol,Sedan,1st Owner
2014,Hyundai,GRAND I10 SPORTZ AT ...,4.85 Lakhs,Delhi,"46,664 Kms",Petrol,Hatchback,1st Owner
2006,Maruti Suzuki,ESTEEM LXI BS III,"90,000",Delhi,"86,000 Kms",Petrol,Sedan,1st Owner
2006,Maruti Suzuki,ESTEEM LXI BS III,"90,000",Ghaziabad,"86,000 Kms",Petrol,Sedan,1st Owner
2014,BMW,X5 XDRIVE 30D M SPOR...,28 Lakhs,Gurgaon,"73,000 Kms",Diesel,SUV,2nd Owner
2016,Volkswagen,POLO 1.5 TDI TREND L...,4.45 Lakhs,Gurgaon,1.15 Lakhs Kms,Diesel,Hatchback,1st Owner
2011,Volkswagen,VENTO HIGHLINE 1.6 P...,2.75 Lakhs,Gurgaon,1.25 Lakhs Kms,Petrol,Sedan,1st Owner
2011,Honda,CITY 1.5 V MT,3.75 Lakhs,Delhi,"59,000 Kms",Petrol,Sedan,2nd Owner
2010,Hyundai,SONATA TRANSFORM 2.0...,3 Lakhs,Delhi,"72,558 Kms",Diesel,Sedan,1st Owner
2010,Hyundai,SONATA TRANSFORM 2.0...,3 Lakhs,Ghaziabad,"72,558 Kms",Diesel,Sedan,1st Owner
2014,Volkswagen,POLO COMFORTLINE 1.2...,4.25 Lakhs,Delhi,"20,000 Kms",Petrol,Hatchback,1st Owner
2008,Honda,CITY 1.5 S MT,2.25 Lakhs,Delhi,1.22 Lakhs Kms,Petrol,Sedan,2nd Owner
2017,Honda,CITY VX CVT PETROL,8.95 Lakhs,Delhi,"50,000 Kms",Petrol,Sedan,1st Owner
2012,Maruti Suzuki,WAGON R 1.0 VXI,2.95 Lakhs,Noida,"50,000 Kms",Petrol,Hatchback,1st Owner
2013,Hyundai,I10 MAGNA 1.1 IRDE2,3.25 Lakhs,Noida,"80,780 Kms",Petrol,Hatchback,2nd Owner
2011,Volkswagen,POLO TRENDLINE 1.2L ...,2.75 Lakhs,Delhi,"50,000 Kms",Petrol,Hatchback,1st Owner
2010,Hyundai,I10 ERA,2.75 Lakhs,Noida,"40,000 Kms",Petrol,Hatchback,2nd Owner
2011,Toyota,FORTUNER 3.0 LIMITED...,8.9 Lakhs,Faridabad,1.9 Lakhs Kms,Diesel,SUV,1st Owner
2010,Honda,ACCORD 2.4 AT,3.95 Lakhs,Faridabad,"95,000 Kms",Petrol,Sedan,2nd Owner
2010,Ford,FIGO DURATEC TITANIU...,2.15 Lakhs,Noida,"54,000 Kms",Petrol,Hatchback,2nd Owner
2008,Maruti Suzuki,SX4 ZXI,2.45 Lakhs,Noida,"65,000 Kms",Petrol,Sedan,1st Owner
2007,Honda,ACCORD 2.4 VTI L MT,2.1 Lakhs,Faridabad,"55,000 Kms",Petrol,Sedan,2nd Owner
2010,Chevrolet,BEAT LS PETROL,1.85 Lakhs,Faridabad,"40,312 Kms",Petrol,Hatchback,1st Owner
